"Kod";"Nazwa";"Wskaźniki";"Rok";"Wartosc";"Jednostka miary";"Atrybut";
0201000;"Powiat bolesławiecki";"ranni na 100 wypadków";"2002";;"osoba";"";
0201000;"Powiat bolesławiecki";"ranni na 100 wypadków";"2003";;"osoba";"";
0201000;"Powiat bolesławiecki";"ranni na 100 wypadków";"2004";;"osoba";"";
0201000;"Powiat bolesławiecki";"ranni na 100 wypadków";"2005";;"osoba";"";
0201000;"Powiat bolesławiecki";"ranni na 100 wypadków";"2006";;"osoba";"";
0201000;"Powiat bolesławiecki";"ranni na 100 wypadków";"2007";;"osoba";"";
0201000;"Powiat bolesławiecki";"ranni na 100 wypadków";"2008";;"osoba";"";
0201000;"Powiat bolesławiecki";"ranni na 100 wypadków";"2009";;"osoba";"";
0201000;"Powiat bolesławiecki";"ranni na 100 wypadków";"2010";;"osoba";"";
0201000;"Powiat bolesławiecki";"ranni na 100 wypadków";"2011";122,4;"osoba";"";
0201000;"Powiat bolesławiecki";"ranni na 100 wypadków";"2012";120,0;"osoba";"";
0201000;"Powiat bolesławiecki";"ranni na 100 wypadków";"2013";134,3;"osoba";"";
0201000;"Powiat bolesławiecki";"ranni na 100 wypadków";"2014";131,4;"osoba";"";
0201000;"Powiat bolesławiecki";"ranni na 100 wypadków";"2015";139,2;"osoba";"";
0201000;"Powiat bolesławiecki";"ranni na 100 wypadków";"2016";120,2;"osoba";"";
0201000;"Powiat bolesławiecki";"ranni na 100 wypadków";"2017";125,0;"osoba";"";
0201000;"Powiat bolesławiecki";"ranni na 100 wypadków";"2018";120,6;"osoba";"";
0201000;"Powiat bolesławiecki";"ranni na 100 wypadków";"2019";;"osoba";"n";
0202000;"Powiat dzierżoniowski";"wypadki drogowe na 100 tys. ludności";"2002";;"osoba";"";
0202000;"Powiat dzierżoniowski";"wypadki drogowe na 100 tys. ludności";"2003";;"osoba";"";
0202000;"Powiat dzierżoniowski";"wypadki drogowe na 100 tys. ludności";"2004";;"osoba";"";
0202000;"Powiat dzierżoniowski";"wypadki drogowe na 100 tys. ludności";"2005";;"osoba";"";
0202000;"Powiat dzierżoniowski";"wypadki drogowe na 100 tys. ludności";"2006";;"osoba";"";
0202000;"Powiat dzierżoniowski";"wypadki drogowe na 100 tys. ludności";"2007";;"osoba";"";
